                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8203,                0.96801,                 1.1878,                0.87624,                0.92982,                0.95596,                0.76292,                0.71975,                0.61283,                0.88429,                0.00307,                0.00307,                0.00307
                     37,                0.82061,                0.96908,                 1.1929,                0.87419,                 0.9268,                0.95532,                0.76401,                0.71614,                0.60816,                0.88087,               0.002872,               0.002872,               0.002872
                     38,                0.81591,                0.96218,                 1.1911,                0.88339,                0.91833,                0.95565,                0.76578,                0.71739,                 0.6064,                0.87986,               0.002674,               0.002674,               0.002674
                     39,                0.81251,                0.95669,                 1.1858,                0.88202,                0.92715,                0.95582,                0.76631,                0.71293,                0.60964,                0.87717,               0.002476,               0.002476,               0.002476
                     40,                0.80686,                0.95859,                 1.1838,                0.88227,                0.92438,                0.95607,                0.76517,                  0.713,                0.60958,                0.87927,               0.002278,               0.002278,               0.002278
                     41,                0.76631,                0.62167,                 1.1957,                0.88422,                0.93043,                0.95758,                0.77233,                0.70751,                 0.6017,                0.87406,                0.00208,                0.00208,                0.00208
                     42,                0.75024,                0.59319,                 1.1828,                0.89267,                0.93079,                0.95916,                0.77782,                0.69568,                0.59925,                0.86402,               0.001882,               0.001882,               0.001882
                     43,                0.73582,                0.57212,                 1.1667,                0.89994,                0.93466,                0.96079,                0.78549,                0.68632,                0.59505,                0.85564,               0.001684,               0.001684,               0.001684
                     44,                0.72947,                0.55464,                  1.168,                0.89992,                 0.9356,                0.96048,                0.78939,                 0.6776,                0.58973,                 0.8469,               0.001486,               0.001486,               0.001486
                     45,                0.72015,                0.54726,                 1.1629,                0.90101,                0.93604,                0.96099,                0.79102,                0.67244,                0.58472,                0.84246,               0.001288,               0.001288,               0.001288
                     46,                0.71285,                0.53185,                 1.1564,                0.90452,                0.93418,                0.96125,                0.79291,                0.66881,                0.58087,                0.83859,                0.00109,                0.00109,                0.00109
                     47,                 0.7049,                0.52941,                  1.152,                0.90252,                0.93587,                  0.962,                0.79497,                0.66476,                0.57645,                0.83525,               0.000892,               0.000892,               0.000892
                     48,                0.69576,                0.51801,                 1.1456,                0.90348,                0.93439,                0.96252,                0.79567,                0.66194,                 0.5727,                0.83249,               0.000694,               0.000694,               0.000694
                     49,                0.68541,                0.50997,                 1.1372,                0.90126,                0.93224,                0.96255,                0.79709,                0.65936,                0.57094,                0.83053,               0.000496,               0.000496,               0.000496
                     50,                0.67557,                0.49848,                 1.1347,                0.90076,                0.93224,                0.96263,                0.79826,                0.65754,                0.57089,                0.82846,               0.000298,               0.000298,               0.000298
