                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.82119,                0.91192,                 1.2048,                 0.9666,                0.91772,                0.97435,                0.78345,                0.73087,                0.46872,                  0.875,               0.002872,               0.002872,               0.002872
                     38,                0.81676,                0.90832,                 1.2017,                0.96385,                0.92064,                0.97494,                0.78474,                0.72737,                0.46687,                0.87259,               0.002674,               0.002674,               0.002674
                     39,                0.81433,                0.90074,                 1.1992,                0.96569,                0.92308,                0.97611,                0.78691,                0.72949,                0.46461,                0.87388,               0.002476,               0.002476,               0.002476
                     40,                0.80956,                0.90562,                 1.1966,                 0.9675,                 0.9221,                 0.9749,                0.78568,                0.73108,                0.46676,                0.87555,               0.002278,               0.002278,               0.002278
                     41,                0.78186,                0.52629,                 1.2143,                0.97191,                0.92665,                0.97639,                0.79186,                0.72109,                0.45519,                0.86648,                0.00208,                0.00208,                0.00208
                     42,                0.76459,                0.50472,                 1.2039,                0.97298,                 0.9293,                0.97744,                0.80014,                0.70771,                0.44674,                0.85516,               0.001882,               0.001882,               0.001882
                     43,                0.75225,                0.48536,                 1.1893,                0.97243,                0.92737,                0.97698,                0.80444,                 0.6981,                0.44162,                0.84664,               0.001684,               0.001684,               0.001684
                     44,                0.74586,                0.47373,                 1.1879,                0.96444,                0.93622,                0.97754,                0.80854,                0.68967,                0.43474,                0.83956,               0.001486,               0.001486,               0.001486
                     45,                0.73398,                0.46393,                 1.1812,                0.96916,                0.93325,                0.97823,                0.81166,                0.68411,                0.42845,                0.83435,               0.001288,               0.001288,               0.001288
                     46,                0.72909,                0.45019,                 1.1785,                0.97309,                0.93311,                0.97923,                0.81347,                0.67938,                0.42211,                0.83027,                0.00109,                0.00109,                0.00109
                     47,                0.72527,                0.44831,                 1.1755,                0.97332,                0.93379,                0.97946,                0.81595,                0.67602,                0.41699,                0.82713,               0.000892,               0.000892,               0.000892
                     48,                0.71507,                0.43922,                 1.1658,                 0.9709,                0.93817,                0.98031,                0.81841,                0.67241,                0.41334,                0.82393,               0.000694,               0.000694,               0.000694
                     49,                0.70748,                0.42977,                 1.1618,                 0.9756,                0.93456,                0.98127,                 0.8203,                0.66945,                 0.4102,                0.82139,               0.000496,               0.000496,               0.000496
                     50,                0.69563,                0.42519,                  1.157,                0.97512,                0.93508,                 0.9817,                 0.8226,                  0.668,                0.40789,                0.81983,               0.000298,               0.000298,               0.000298
